2.39;162.67;160;160.20;170.76;11448
120.92;349.19;121.00;120;119.76;101.29;11336
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.82;101.34;11428
120.49;347.77;123.33;120;120.08;101.56;11324
120.93;349.40;123.33;120;119.88;101.39;11328
121.26;350.17;121.67;120;119.38;100.98;11440
121.02;348.88;122.00;120;119.18;100.81;11340
120.72;348.18;123.00;120;119.65;101.20;11400
120.85;348.97;123.00;120;119.81;101.34;11328
121.09;349.60;121.00;120;119.52;101.10;11332
120.81;348.16;122.00;120;119.32;100.93;11348
120.59;347.89;122.00;120;119.86;101.37;11328
120.67;348.22;123.00;120;119.85;101.36;11340
120.92;349.19;121.00;120;119.76;101.29;11332
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.82;101.34;11424
120.49;347.77;123.33;120;120.08;101.56;11336
120.93;349.40;121.67;120;119.88;101.39;11428
120.97;348.88;121.67;120;119.34;100.95;11340
120.70;348.08;122.00;120;119.61;101.17;11328
120.64;348.10;123.00;120;119.83;101.35;11344
120.88;349.10;123.00;120;119.81;101.33;11324
121.11;349.67;121.00;120;119.48;101.06;11352
120.81;348.16;122.00;120;119.31;100.92;11328
120.58;347.87;122.00;120;119.86;101.37;11324
120.66;348.21;123.00;120;119.85;101.37;11436
120.92;349.19;121.00;120;119.77;101.30;11332
120.78;348.13;121.00;120;119.42;101.01;11328
120.43;347.18;122.00;120;119.82;101.34;11432
120.49;347.77;123.00;120;120.08;101.56;11336
120.87;349.14;121.00;120;119.87;101.38;11436
120.79;348.20;121.00;120;119.41;101.01;11324
120.45;347.22;122.00;120;119.80;101.32;11332
120.49;347.78;123.33;120;120.08;101.55;11332
120.93;349.39;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11344
121.02;348.88;122.00;120;119.18;100.81;11336
120.72;348.18;122.00;120;119.64;101.20;11324
120.68;348.20;123.00;120;119.79;101.32;11436
120.90;349.12;121.00;120;119.78;101.31;11332
120.76;348.11;122.00;120;119.44;101.02;11424
120.60;347.96;122.00;120;119.85;101.37;11324
120.68;348.26;123.00;120;119.83;101.35;11332
120.92;349.19;121.00;120;119.76;101.29;11356
120.77;348.13;121.00;120;119.42;101.01;11340
120.43;347.18;122.00;120;119.83;101.34;11344
120.49;347.77;123.33;120;120.09;101.56;11324
120.93;349.40;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11444
121.02;348.88;122.00;120;119.18;100.81;11332
120.72;348.18;122.00;120;119.64;101.20;11332
120.68;348.20;123.00;120;119.79;101.32;11424
120.90;349.12;121.00;120;119.78;101.31;11332
120.76;348.11;122.00;120;119.44;101.02;11356
120.60;347.96;122.00;120;119.85;101.37;11316
120.68;348.26;123.00;120;119.83;101.35;11332
120.92;349.19;121.00;120;119.76;101.29;11356
120.77;348.13;121.00;120;119.42;101.01;11340
120.43;347.18;122.00;120;119.83;101.34;11332
120.49;347.77;123.33;120;120.09;101.56;11328
120.93;349.40;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11444
121.02;348.88;122.00;120;119.18;100.81;11340
120.72;348.18;123.00;120;119.64;101.20;11416
120.85;348.97;123.00;120;119.81;101.34;11332
121.09;349.60;121.00;120;119.52;101.10;11328
120.81;348.16;122.00;120;119.32;100.93;11352
120.59;347.89;122.00;120;119.86;101.37;11328
120.67;348.22;123.00;120;119.85;101.36;11348
120.92;349.19;121.00;120;119.76;101.29;11336
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.82;101.34;11432
120.49;347.77;123.33;120;120.08;101.56;11328
120.93;349.40;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11444
121.02;348.88;122.00;120;119.18;100.81;11340
120.72;348.18;123.00;120;119.65;101.20;11348
120.85;348.97;123.00;120;119.81;101.34;11332
121.09;349.60;121.00;120;119.52;101.10;11332
120.81;348.16;122.00;120;119.32;100.93;11344
120.59;347.89;122.00;120;119.86;101.37;11328
120.67;348.22;123.00;120;119.85;101.36;11340
120.92;349.19;121.00;120;119.76;101.29;11336
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.82;101.34;11432
120.49;347.77;123.33;120;120.08;101.56;11332
120.93;349.40;121.67;120;119.88;101.39;11424
120.97;348.88;121.67;120;119.34;100.95;11344
120.70;348.08;122.00;120;119.61;101.17;11332
120.64;348.10;123.00;120;119.83;101.35;11348
120.88;349.10;123.00;120;119.81;101.33;11324
121.11;349.67;121.00;120;119.48;101.06;11352
120.81;348.16;122.00;120;119.31;100.92;11328
120.58;347.87;122.00;120;119.86;101.37;11328
120.66;348.21;123.00;120;119.85;101.37;11436
120.92;349.19;121.00;120;119.77;101.30;11336
120.78;348.13;122.00;120;119.42;101.01;11420
120.43;347.18;122.00;120;119.82;101.34;11340
120.49;347.77;123.33;120;120.08;101.56;11328
120.93;349.40;121.67;120;119.88;101.39;11440
120.97;348.88;121.67;120;119.34;100.95;11336
120.70;348.08;122.00;120;119.61;101.17;11328
120.64;348.10;123.00;160;203.55;255.00;11348
138.42;405.56;123.00;160;188.97;255.00;11316
148.07;426.07;125.33;160;172.78;221.51;11404
148.96;425.00;144.33;160;168.99;204.07;11428
